nse_symbol,security_name,yahoo_ticker
ABB,ABB Ltd.,ABB.NS
ACC,ACC,ACC.NS
ACC,ACC Ltd.,ACC.NS
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS
AMBUJACEM,AMBUJACEM,AMBUJACEM.NS
AMBUJACEM,Ambuja Cements Ltd.,AMBUJACEM.NS
ASIANPAINT,Asian Paints Ltd.,ASIANPAINT.NS
AUROPHARMA,Aurobindo Pharma Ltd.,AUROPHARMA.NS
AXISBANK,AXISBANK,AXISBANK.NS
AXISBANK,Axis Bank Ltd.,AXISBANK.NS
BAJAJ-AUTO,BAJAJ-AUTO,BAJAJ-AUTO.NS
BAJAJ-AUTO,Bajaj Auto Ltd.,BAJAJ-AUTO.NS
BAJAJFINSV,Bajaj Finserv Ltd.,BAJAJFINSV.NS
BAJFINANCE,Bajaj Finance Ltd.,BAJFINANCE.NS
BANKBARODA,Bank of Baroda,BANKBARODA.NS
BHARTIARTL,BHARTIARTL,BHARTIARTL.NS
BHARTIARTL,Bharti Airtel Ltd.,BHARTIARTL.NS
BHEL,BHEL,BHEL.NS
BHEL,Bharat Heavy Electricals Ltd.,BHEL.NS
BOSCHLTD,Bosch Ltd.,BOSCHLTD.NS
BPCL,BPCL,BPCL.NS
BPCL,Bharat Petroleum Corporation Ltd.,BPCL.NS
BRITANNIA,Britannia Industries Ltd.,BRITANNIA.NS
CAIRN,CAIRN,CAIRN.NS
CAIRN,Cairn India Ltd.,CAIRN.NS
CIPLA,CIPLA,CIPLA.NS
CIPLA,Cipla Ltd.,CIPLA.NS
COALINDIA,Coal India Ltd.,COALINDIA.NS
DLF,DLF,DLF.NS
DLF,DLF Ltd.,DLF.NS
DRREDDY,DRREDDY,DRREDDY.NS
DRREDDY,Dr. Reddy's Laboratories Ltd.,DRREDDY.NS
EICHERMOT,Eicher Motors Ltd.,EICHERMOT.NS
GAIL,GAIL,GAIL.NS
GAIL,GAIL (India) Ltd.,GAIL.NS
GRASIM,GRASIM,GRASIM.NS
GRASIM,Grasim Industries Ltd.,GRASIM.NS
HCLTECH,HCL Technologies Ltd.,HCLTECH.NS
HCLTECH,HCLTECH,HCLTECH.NS
HDFC,HDFC,HDFC.NS
HDFC,Housing Development Finance Corporation Ltd.,HDFC.NS
HDFCBANK,HDFC Bank Ltd.,HDFCBANK.NS
HDFCBANK,HDFCBANK,HDFCBANK.NS
HEROHONDA,Hero Honda Motors Ltd.,HEROHONDA.NS
HEROMOTOCO,HEROMOTOCO,HEROMOTOCO.NS
HEROMOTOCO,Hero MotoCorp Ltd.,HEROMOTOCO.NS
HINDALCO,HINDALCO,HINDALCO.NS
HINDALCO,Hindalco Industries Ltd.,HINDALCO.NS
HINDPETRO,Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS
HINDUNILVR,HINDUNILVR,HINDUNILVR.NS
HINDUNILVR,Hindustan Unilever Ltd.,HINDUNILVR.NS
IBULHSGFIN,Indiabulls Housing Finance Ltd.,IBULHSGFIN.NS
ICICIBANK,ICICI Bank Ltd.,ICICIBANK.NS
ICICIBANK,ICICIBANK,ICICIBANK.NS
IDEA,Idea Cellular Ltd.,IDEA.NS
IDFC,IDFC,IDFC.NS
IDFC,IDFC Ltd.,IDFC.NS
IDFC,Infrastructure Development Finance Co. Ltd.,IDFC.NS
INDUSINDBK,IndusInd Bank Ltd.,INDUSINDBK.NS
INFOSYSTCH,Infosys Technologies Ltd.,INFOSYSTCH.NS
INFRATEL,Bharti Infratel Ltd.,INFRATEL.NS
INFY,INFY,INFY.NS
INFY,Infosys Ltd.,INFY.NS
INFY,Infosys Technologies Ltd.,INFY.NS
IOC,Indian Oil Corporation Ltd.,IOC.NS
ITC,I T C Ltd.,ITC.NS
ITC,ITC,ITC.NS
ITC,ITC Ltd.,ITC.NS
JINDALSTEL,JINDALSTEL,JINDALSTEL.NS
JINDALSTEL,Jindal Steel & Power Ltd.,JINDALSTEL.NS
JPASSOCIAT,JPASSOCIAT,JPASSOCIAT.NS
JPASSOCIAT,Jaiprakash Associates Ltd.,JPASSOCIAT.NS
JSWSTEEL,JSW Steel Ltd.,JSWSTEEL.NS
KOTAKBANK,KOTAKBANK,KOTAKBANK.NS
KOTAKBANK,Kotak Mahindra Bank Ltd.,KOTAKBANK.NS
LT,LT,LT.NS
LT,Larsen & Toubro Ltd.,LT.NS
LUPIN,Lupin Ltd.,LUPIN.NS
M&M,M&M,M&M.NS
M&M,Mahindra & Mahindra Ltd.,M&M.NS
MARUTI,MARUTI,MARUTI.NS
MARUTI,Maruti Suzuki India Ltd.,MARUTI.NS
MCDOWELL-N,United Spirits Ltd.,MCDOWELL-N.NS
NESTLEIND,Nestle India Ltd.,NESTLEIND.NS
NMDC,NMDC Ltd.,NMDC.NS
NTPC,NTPC,NTPC.NS
NTPC,NTPC Ltd.,NTPC.NS
ONGC,ONGC,ONGC.NS
ONGC,Oil & Natural Gas Corporation Ltd.,ONGC.NS
PNB,PNB,PNB.NS
PNB,Punjab National Bank,PNB.NS
POWERGRID,POWERGRID,POWERGRID.NS
POWERGRID,Power Grid Corporation of India Ltd.,POWERGRID.NS
RANBAXY,RANBAXY,RANBAXY.NS
RANBAXY,Ranbaxy Laboratories Ltd.,RANBAXY.NS
RCOM,RCOM,RCOM.NS
RCOM,Reliance Communications Ltd.,RCOM.NS
RELCAPITAL,RELCAPITAL,RELCAPITAL.NS
RELCAPITAL,Reliance Capital Ltd.,RELCAPITAL.NS
RELIANCE,RELIANCE,RELIANCE.NS
RELIANCE,Reliance Industries Ltd.,RELIANCE.NS
RELINFRA,RELINFRA,RELINFRA.NS
RELINFRA,Reliance Infrastructure Ltd.,RELINFRA.NS
RPOWER,RPOWER,RPOWER.NS
RPOWER,Reliance Power Ltd.,RPOWER.NS
SAIL,SAIL,SAIL.NS
SAIL,Steel Authority of India Ltd,SAIL.NS
SAIL,Steel Authority of India Ltd.,SAIL.NS
SBIN,SBIN,SBIN.NS
SBIN,State Bank of India,SBIN.NS
SESAGOA,SESAGOA,SESAGOA.NS
SESAGOA,Sesa Goa Ltd.,SESAGOA.NS
SIEMENS,SIEMENS,SIEMENS.NS
SIEMENS,Siemens Ltd.,SIEMENS.NS
SSLT,Sesa Sterlite Ltd.,SSLT.NS
SSLT,Vedanta Ltd.,SSLT.NS
STER,STER,STER.NS
STER,Sterlite Industries (India) Ltd.,STER.NS
SUNPHARMA,SUNPHARMA,SUNPHARMA.NS
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS
SUZLON,Suzlon Energy Ltd.,SUZLON.NS
TATAMOTORS,TATAMOTORS,TATAMOTORS.NS
TATAMOTORS,Tata Motors Ltd.,TATAMOTORS.NS
TATAMTRDVR,Tata Motors Ltd DVR,TATAMTRDVR.NS
TATAPOWER,TATAPOWER,TATAPOWER.NS
TATAPOWER,Tata Power Co. Ltd.,TATAPOWER.NS
TATASTEEL,TATASTEEL,TATASTEEL.NS
TATASTEEL,Tata Steel Ltd.,TATASTEEL.NS
TCS,TCS,TCS.NS
TCS,Tata Consultancy Services Ltd.,TCS.NS
TECHM,Tech Mahindra Ltd.,TECHM.NS
TITAN,Titan Company Ltd.,TITAN.NS
ULTRACEMCO,UltraTech Cement Ltd.,ULTRACEMCO.NS
UNITECH,Unitech Ltd.,UNITECH.NS
UPL,UPL Ltd.,UPL.NS
VEDL,Vedanta Ltd.,VEDL.NS
WIPRO,WIPRO,WIPRO.NS
WIPRO,Wipro Ltd.,WIPRO.NS
YESBANK,Yes Bank Ltd.,YESBANK.NS
ZEEL,Zee Entertainment Enterprises Ltd.,ZEEL.NS
